序号,测试模块,测试概述,测试详情（操作步骤）,预期结果,是否通过,截图,备注
22,登录,页面刷新后保持登录态,"1. 登录成功后
2. 按 F5 刷新页面",页面刷新后仍显示已登录状态，不跳转到 /login,,,main.ts 中 initFromStorage()
23,登录,Token 过期后返回 401,"1. 手动在 localStorage 中设置一个已过期的 token
2. 访问需要登录的页面（如 /profile）",后端返回 401，前端清除 localStorage 并跳转 /login,,,JWT exp 校验
24,登录,已登录用户访问登录页自动跳转,"1. 登录成功后
2. 手动访问 /login 或 /register",自动重定向到首页 /,,,路由守卫
25,登录,跨标签页共享登录态,"1. 在标签页 A 登录
2. 打开新标签页 B 访问首页",标签页 B 自动显示已登录状态（从 localStorage 读取）,,,
26,登录,Tampered Token 拒绝,"1. 登录成功后
2. 手动修改 localStorage 中 token 的任意字符
3. 访问受保护接口",后端返回 401（JWT 签名验证失败）,,,安全性测试
27,登录,无 Token 访问受保护接口,"1. 不登录
2. 直接访问 /profile 或 GET /api/auth/me",前端路由守卫跳转 /login；后端 API 返回 401,,,
28,登出,正常登出,"1. 登录成功后
2. 鼠标悬浮右上角用户 chip → 下拉卡片中点击退出登录""""",localStorage 中 token 和 user 被清除，页面显示"登录""立即注册"按钮,,,
29,登出,登出后无法访问受保护页面,"1. 登出后
2. 手动访问 /profile 或 /practice",跳转到 /login,,,
30,密码安全,密码传输确认（开发期）,"1. 打开浏览器 DevTools → Network 标签
2. 执行注册或登录操作
3. 查看请求体",开发期 HTTP 明文传输可接受（localhost），生产环境需 HTTPS,,,安全性测试
31,密码安全,密码不会明文打印到日志,"1. 注册或登录
2. 查看后端终端和服务端日志",日志中不包含用户输入的明文密码,,,安全性测试：检查 app.js 无 console.log(password)
32,密码安全,错误信息不泄露用户信息,登录时分别测试"错误密码"和"不存在的邮箱",两种情况下返回的错误信息完全一致："邮箱或密码错误",,,安全性测试：防用户枚举
33,前端校验,LoginView 不走浏览器原生校验,"1. 打开 /login
2. 查看邮箱输入框 HTML 属性",input 无 required 和 type=""email"" 属性，使用 novalidate 表单,,,自定义校验替代浏览器原生
34,前端校验,RegisterView 不走浏览器原生校验,"1. 打开 /register
2. 查看各输入框 HTML 属性",所有 input 无 required 属性，表单有 novalidate 属性,,,
35,前端校验,校验规则统一引用,1. 查看 LoginView.vue 和 RegisterView.vue 的 import,两个组件均从 @/utils/validation 引用校验函数,,,代码规范
36,前端校验,注册按钮禁用逻辑,"1. 打开 /register
2. 逐步填写符合条件的字段",所有字段符合规则前按钮置灰不可点击，全部合规后按钮激活,,,
37,API 鉴权,非 admin 访问管理后台 API,"1. 用普通用户 token
2. 请求 GET /api/admin/users",返回 403 FORBIDDEN,,,requireAdmin 中间件
38,API 鉴权,非 admin 访问试卷编辑/删除/上传 API,"1. 用普通用户 token
2. 请求 PUT/DELETE /api/papers/:id",返回 403 FORBIDDEN,,,requireAdmin 中间件
